ID,HOSPITAL_NAME,DISEASE_NAME,VACCINE_NAME,PRICE,LOCATION,LATITUDE,LONGITUDE,SIDEEFFECT
0,강북삼성병원,대상포진,조스타박스주,170000,서울 종로구,37.5683585,126.9674846,부작용
1,강북삼성병원,로타바이러스,로타릭스프리필드,110000,서울 종로구,37.5683585,126.9674846,부작용
2,강북삼성병원,로타바이러스,로타텍액,90000,서울 종로구,37.5683585,126.9674846,부작용
3,강북삼성병원,A형간염,아박심160U성인용주,68000,서울 종로구,37.5683585,126.9674846,부작용
4,강북삼성병원,A형간염,하브릭스주 1ml,70000,서울 종로구,37.5683585,126.9674846,부작용
5,강북삼성병원,수막구균,멘비오,140000,서울 종로구,37.5683585,126.9674846,부작용
6,강북삼성병원,사람유두종바이러스,가다실프리필드시린지,180000,서울 종로구,37.5683585,126.9674846,부작용
7,강북삼성병원,사람유두종바이러스,서바릭스프리필드시린지,123500,서울 종로구,37.5683585,126.9674846,부작용
8,강북삼성병원,사람유두종바이러스,가다실9프리필드시린지,210000,서울 종로구,37.5683585,126.9674846,부작용
9,강북삼성병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,37000,서울 종로구,37.5683585,126.9674846,부작용
10,강북삼성병원,인플루엔자,플루아릭스테트라프리필드시린지,37000,서울 종로구,37.5683585,126.9674846,부작용
11,강북삼성병원,장티푸스,지로티프-주,15000,서울 종로구,37.5683585,126.9674846,부작용
12,강북삼성병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,31900,서울 종로구,37.5683585,126.9674846,부작용
13,강북삼성병원,폐렴구균,프리베나13주,89200,서울 종로구,37.5683585,126.9674846,부작용
14,강북삼성병원,폐렴구균,프로디악스-23,42350,서울 종로구,37.5683585,126.9674846,부작용
15,건국대학교병원,대상포진,조스타박스주,195000,서울 광진구,37.5408245,127.0722209,부작용
16,건국대학교병원,로타바이러스,로타릭스프리필드,150000,서울 광진구,37.5408245,127.0722209,부작용
17,건국대학교병원,로타바이러스,로타텍액,100000,서울 광진구,37.5408245,127.0722209,부작용
18,건국대학교병원,A형간염,아박심160U성인용주,60000,서울 광진구,37.5408245,127.0722209,부작용
19,건국대학교병원,A형간염,박타프리필드 시린지 0.5ml,40000,서울 광진구,37.5408245,127.0722209,부작용
20,건국대학교병원,수두,수두박스주,35000,서울 광진구,37.5408245,127.0722209,부작용
21,건국대학교병원,수막구균,멘비오,150000,서울 광진구,37.5408245,127.0722209,부작용
22,건국대학교병원,사람유두종바이러스,가다실9프리필드시린지,200000,서울 광진구,37.5408245,127.0722209,부작용
23,건국대학교병원,사람유두종바이러스,가다실프리필드시린지,140000,서울 광진구,37.5408245,127.0722209,부작용
24,건국대학교병원,사람유두종바이러스,서바릭스프리필드시린지,150000,서울 광진구,37.5408245,127.0722209,부작용
25,건국대학교병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,40000,서울 광진구,37.5408245,127.0722209,부작용
26,건국대학교병원,장티푸스,지로티프-주,28160,서울 광진구,37.5408245,127.0722209,부작용
27,건국대학교병원,"Td(파상풍, 디프테리아)",녹십자티디백신프리필드시린지주,30000,서울 광진구,37.5408245,127.0722209,부작용
28,건국대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,48000,서울 광진구,37.5408245,127.0722209,부작용
29,건국대학교병원,폐렴구균,프로디악스-23프리필드시린지,50000,서울 광진구,37.5408245,127.0722209,부작용
30,건국대학교병원,폐렴구균,프리베나13주,120000,서울 광진구,37.5408245,127.0722209,부작용
31,건국대학교병원,폐렴구균,신플로릭스프리필드시린지,63000,서울 광진구,37.5408245,127.0722209,부작용
32,경희대학교병원,대상포진,조스타박스주,190000,서울 동대문구,37.593884,127.0513235,부작용
33,경희대학교병원,로타바이러스,로타텍액,100000,서울 동대문구,37.593884,127.0513235,부작용
34,경희대학교병원,로타바이러스,로타릭스프리필드,110000,서울 동대문구,37.593884,127.0513235,부작용
35,경희대학교병원,A형간염,아박심160U성인용주,70000,서울 동대문구,37.593884,127.0513235,부작용
36,경희대학교병원,A형간염,박타주 0.5ml,40000,서울 동대문구,37.593884,127.0513235,부작용
37,경희대학교병원,A형간염,하브릭스주 1ml,75000,서울 동대문구,37.593884,127.0513235,부작용
38,경희대학교병원,A형간염,박타프리필드 시린지 1ml,70000,서울 동대문구,37.593884,127.0513235,부작용
39,경희대학교병원,수두,수두박스주,13020,서울 동대문구,37.593884,127.0513235,부작용
40,경희대학교병원,수막구균,멘비오,120000,서울 동대문구,37.593884,127.0513235,부작용
41,경희대학교병원,신증후군출혈열,한타박스 0.5ml,22000,서울 동대문구,37.593884,127.0513235,부작용
42,경희대학교병원,사람유두종바이러스,가다실9프리필드시린지,200000,서울 동대문구,37.593884,127.0513235,부작용
43,경희대학교병원,사람유두종바이러스,서바릭스프리필드시린지,140000,서울 동대문구,37.593884,127.0513235,부작용
44,경희대학교병원,인플루엔자,지씨플루쿼드리밸런트프리필드시린지주,40000,서울 동대문구,37.593884,127.0513235,부작용
45,경희대학교병원,인플루엔자,박씨그리프테트라주,30000,서울 동대문구,37.593884,127.0513235,부작용
46,경희대학교병원,장티푸스,지로티프-주,15000,서울 동대문구,37.593884,127.0513235,부작용
47,경희대학교병원,"Td(파상풍, 디프테리아)",에스케이티디백신주,30000,서울 동대문구,37.593884,127.0513235,부작용
48,경희대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",부스트릭스프리필드시린지,50000,서울 동대문구,37.593884,127.0513235,부작용
49,경희대학교병원,"Tdap(파상풍, 디프테리아, 백일해)",아다셀주,40000,서울 동대문구,37.593884,127.0513235,부작용
